organisationid,organisationcode,organisationtype,subtype,sector,organisationstatus,ispimsmanaged,organisationname,parentodscode,parentname,phone,email,website,fax
18356,NT209,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Cambridge Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/cambridgehospital,",,"
18357,NT210,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, The Grosvenor Hospital, Chester",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/thegrosvenorhospitalchester,
18358,NT211,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Cheltenham Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/cheltenhamhospital,",,"
18359,NT212,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Chichester Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/chichesterhospital,",,"
18360,NT213,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Derby Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/derbyhospital,",,"
18361,NT214,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Wessex Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/hospitals/wessex,",,"
18362,NT215,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Exeter Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/exeterhospital,",,"
18363,NT216,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Guildford Hospital",NT2,Nuffield Health,01483 555800,,http://www.nuffieldhealth.com/guildfordhospital,",,"
18365,NT218,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Haywards Heath Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/haywards-heathhospital,",,"
18366,NT219,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Hereford Hospital",NT2,Nuffield Health,01432 355131,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/herefordhospital,"01432 344061,,"
18367,NT222,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Ipswich Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/ipswichhospital,",,"
18368,NT224,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Warwickshire Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/warwickshirehospital,",,"
18369,NT225,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Leeds Hospital",NT2,Nuffield Health,0113 388 2000,leedsnuffield@nhs.net,https://www.nuffieldhealth.com/hospitals/leeds,"0113 3882187,,"
18370,NT226,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Leicester Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/leicesterhospital,",,"
18371,NT229,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Newcastle-upon-Tyne Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/newcastle-upon-tynehospital,",,"
18372,NT230,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, North Staffordshire Hospital",NT2,Nuffield Health,01782 382551,customerservice.enq@nuffieldhealth.com,http://www.nuffieldhealth.com/northstaffordshirehospital,",,"
18373,NT233,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Plymouth Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/plymouthhospital,",,"
18374,NT235,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Shrewsbury Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/shrewsburyhospital,",,"
18375,NT237,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Tees Hospital",NT2,Nuffield Health,0800 015 5020,tees.enquiries2@nuffieldhealth.com,http://www.nuffieldhealth.com/teeshospital,",,"
18376,NT238,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Taunton Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/tauntonhospital,",,"
18377,NT239,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Tunbridge Wells Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/tunbridgewellshospital,",,"
18378,NT241,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Woking Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/wokinghospital,",,"
18379,NT242,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Wolverhampton Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/hospitals/wolverhampton,",,"
18380,NT244,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, The Manor Hospital, Oxford",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/themanorhospitaloxford,","
18381,NT245,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, York Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/yorkhospital,",,"
18385,NT301,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire South Bank Hospital,NT3,Spire Healthcare,01905 350 003,cservice-sb@spirehealthcare.com,https://www.spirehealthcare.com/spire-south-bank-hospital/,"01905 362 031,,,"
18386,NT302,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Bristol Hospital,NT3,Spire Healthcare,0117 980 4000,info@spirebristol.com,https://www.spirehealthcare.com/spire-bristol-hospital/,"0117 974 3203,,,"
18388,NT304,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Southampton Hospital,NT3,Spire Healthcare,023 8077 5544,spire.southampton@nhs.net,https://www.spirehealthcare.com/spire-southampton-hospital/,",,,"
18389,NT305,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Portsmouth Hospital,NT3,Spire Healthcare,02392 456 172,info@spireportsmouth.com,https://www.spirehealthcare.com/spire-portsmouth-hospital/,",,,"
18390,NT308,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Gatwick Park Hospital,NT3,Spire Healthcare,01293 785511,spire.nhsteamgpk@nhs.net,https://www.spirehealthcare.com/spire-gatwick-park-hospital/,",,,"
18391,NT309,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Sussex Hospital,NT3,Spire Healthcare,01424 757400,info@spiresussex.com,https://www.spirehealthcare.com/spire-sussex-hospital/,"01424 757 424,,,"
18392,NT310,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Tunbridge Wells Hospital,NT3,Spire Healthcare,01892 740 047,info@spiretunbridgewells.com,https://www.spirehealthcare.com/spire-tunbridge-wells-hospital/,"01892 740046,,,"
18393,NT312,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Alexandra Hospital,NT3,Spire Healthcare,01634 687166,cservice-al@spirehealthcare.com,https://www.spirehealthcare.com/spire-alexandra-hospital/,"01634 686 162,,,"
18394,NT313,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Wellesley Hospital,NT3,Spire Healthcare,01702 462944,spire.wellesley@nhs.net,https://www.spirehealthcare.com/spire-wellesley-hospital/,"01702 447937,,,"
18395,NT314,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire London East Hospital,NT3,Spire Healthcare,020 8709 7878,spire.londoneast@nhs.net,https://www.spirehealthcare.com/spire-london-east-hospital,"020 8709 7877,,,"
18396,NT315,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Bushey Hospital,NT3,Spire Healthcare,020 8901 5572,spire.bushey@nhs.net,https://www.spirehealthcare.com/spire-bushey-hospital/,"020 8950 7556,,,"
18397,NT316,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Harpenden Hospital,NT3,Spire Healthcare,01582 763191,spire.harpenden@nhs.net,https://www.spirehealthcare.com/spire-harpenden-hospital/,"0800 585 112,,,"
18398,NT317,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Cambridge Lea Hospital,NT3,Spire Healthcare,01223 266 900,info@spirecambridge.com,https://www.spirehealthcare.com/spire-cambridge-lea-hospital/,"01223 233 421,,,"
18399,NT318,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Norwich Hospital,NT3,Spire Healthcare,01603 456 181,spire.norwich@nhs.net,https://www.spirehealthcare.com/spire-norwich-hospital/,",,,"
18400,NT319,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Hartswood Hospital,NT3,Spire Healthcare,01277 232 525,spire.hartswood@nhs.net,https://www.spirehealthcare.com/spire-hartswood-hospital/,",,,"
18401,NT320,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Parkway Hospital,NT3,Spire Healthcare,0121 704 1451,spire.parkway@nhs.net,https://www.spirehealthcare.com/spire-parkway-hospital/,"0121 711 3436,,,"
18402,NT321,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Little Aston Hospital,NT3,Spire Healthcare,0121 353 2444,info@spirelittleaston.com,https://www.spirehealthcare.com/spire-little-aston-hospital/,"0121 353 6897,,,"
18403,NT322,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Leicester Hospital,NT3,Spire Healthcare,0116 265 3685,info@spireleicester.com,https://www.spirehealthcare.com/spire-leicester-hospital/,"0116 272 0666,,,"
18404,NT324,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Cheshire Hospital,NT3,Spire Healthcare,01925 265 000,spire.cheshire@nhs.net,https://www.spirehealthcare.com/spire-cheshire-hospital/,"0800 195 3572,,,"
18405,NT325,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Murrayfield Hospital,NT3,Spire Healthcare,0151 648 7000,spire.murrayfield.nhsoffice@nhs.net,https://www.spirehealthcare.com/spire-murrayfield-hospital-wirral,"0151 648 0481,,,"
18406,NT327,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Manchester Hospital,NT3,Spire Healthcare,0161 447 6677,info@spiremanchester.com,https://www.spirehealthcare.com/spire-manchester-hospital/,"0161 447 6678,,,"
18407,NT332,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Leeds Hospital,NT3,Spire Healthcare,0113 269 3939,spire.leeds@nhs.net,https://www.spirehealthcare.com/spire-leeds-hospital/,"0113 218 5920,,,"
18408,NT333,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Washington Hospital,NT3,Spire Healthcare,0191 418 8669,spire.washington@nhs.net,https://www.spirehealthcare.com/spire-washington-hospital/,"0191 418 8606,,,"
18409,NT337,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Liverpool Hospital,NT3,Spire Healthcare,0151 733 7123,spire.liverpool@nhs.net,https://www.spirehealthcare.com/spire-liverpool-hospital/,"0151 733 8043,,,"
18410,NT339,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Regency Hospital,NT3,Spire Healthcare,01625 501150,spire.regencyhospnhs@nhs.net,https://www.spirehealthcare.com/spire-regency-hospital-macclesfield/,"01625 501800,,,"
18412,NT343,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Thames Valley Hospital,NT3,Spire Healthcare,01753 662 241,cservice-tv@spirehealthcare.com,https://www.spirehealthcare.com/spire-thames-valley-hospital/,",,,"
18413,NT344,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Dunedin Hospital,NT3,Spire Healthcare,0118 9587676,spire.dunedin@nhs.net,https://www.spirehealthcare.com/spire-dunedin-hospital/,"0118 9585531,,,"
18414,NT345,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Clare Park Hospital,NT3,Spire Healthcare,01252 850216,info@spireclarepark.com,https://www.spirehealthcare.com/spire-clare-park-hospital/,",,,"
18416,NT347,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Fylde Coast Hospital,NT3,Spire Healthcare,01253 394 188,info@spirefyldecoast.com,https://www.spirehealthcare.com/spire-fylde-coast-hospital/,"0800 587 4105,,,"
18417,NT348,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Elland Hospital,NT3,Spire Healthcare,01422 324000,spire.elland@nhs.net,https://www.spirehealthcare.com/spire-elland-hospital/,"0800 138 8804,,,"
18419,NT350,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Methley Park Hospital,NT3,Spire Healthcare,01977 518518,spire.methleypark@nhs.net,https://www.spirehealthcare.com/spire-methley-park-hospital/,",,,"
18420,NT351,Hospital,Hospital,Independent Sector,Visible,TRUE,Spire Hull and East Riding Hospital,NT3,Spire Healthcare,01482 659471 ,spire.hull@nhs.net,https://www.spirehealthcare.com/spire-hull-and-east-riding-hospital/,"01482 654033 ,,,"
18421,NT364,Hospital,Hospital,Independent Sector,Visible,TRUE,The Montefiore Hospital,NT3,Spire Healthcare,01273 828 120,montefioreinfo@spirehealthcare.com,http://themontefiorehospital.co.uk/,"01273 828 130,,,"
18423,NT401,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Alexandra Hospital,NT4,BMI Healthcare,0161 428 3656,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-alexandra-hospital,"0161 491 3867,,,"
18424,NT402,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Bath Clinic,NT4,BMI Healthcare,01225 835555,bath@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-bath-clinic,"01225 835900,,,"
18425,NT403,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Beardwood Hospital,NT4,BMI Healthcare,01254 507607,beardwood@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-beardwood-hospital,"01254 507608,,,"
18426,NT404,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Beaumont Hospital,NT4,BMI Healthcare,01204 404404,beaumont@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-beaumont-hospital,"01204 404488,,,"
18427,NT405,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Bishops Wood Hospital,NT4,BMI Healthcare,01923 835814,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-bishops-wood-hospital,"01923 835181,,,"
18428,NT406,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Blackheath Hospital,NT4,BMI Healthcare,020 8108 3076,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-blackheath-hospital,"020 8318 2542,,,"
18430,NT408,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Chaucer Hospital,NT4,BMI Healthcare,01227 825100,chaucer@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-chaucer-hospital,"01227 762733,,,"
18431,NT409,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Chelsfield Park Hospital,NT4,BMI Healthcare,01689 877855,,https://www.bmihealthcare.co.uk/hospitals/bmi-chelsfield-park-hospital,"01689 837439,,,"
18432,NT410,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Chiltern Hospital,NT4,BMI Healthcare,01494 890890,chiltern@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-chiltern-hospital,"01494 890250,,,"
18433,NT411,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Clementine Churchill Hospital,NT4,BMI Healthcare,020 8872 3872,cch@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-clementine-churchill-hospital,",,,"
18434,NT412,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Droitwich Spa Hospital,NT4,BMI Healthcare,01905 793333,droitwich@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-droitwich-spa-hospital,"01905 793334,,,"
18438,NT416,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Hendon Hospital,NT4,BMI Healthcare,020 8457 4500,garden@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-hendon-hospital,"020 8457 4567,,,"
18439,NT417,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Goring Hall Hospital,NT4,BMI Healthcare,01903 506699,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-goring-hall-hospital,"01903 242348,,,"
18441,NT419,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Harbour Hospital,NT4,BMI Healthcare,01202 244200,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-harbour-hospital,"01202 244201,,,"
18442,NT420,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Highfield Hospital,NT4,BMI Healthcare,01706 655121,highfield@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-highfield-hospital,"01706 356759,,,"
18443,NT421,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Kings Oak Hospital,NT4,BMI Healthcare,020 8370 9500,kingsoak@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-kings-oak-hospital,"020 8370 9501,,,"
18444,NT422,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The London Independent Hospital,NT4,BMI Healthcare,020 7780 2400,lih@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-london-independent-hospital,"020 7780 2401,,,"
18445,NT423,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Manor Hospital,NT4,BMI Healthcare,01234 364252,manor@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-manor-hospital,"01234 325001,,,"
18446,NT424,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Meriden Hospital,NT4,BMI Healthcare,024 7664 7000,meriden@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-meriden-hospital,"024 7664 7001,,,"
18449,NT427,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Park Hospital,NT4,BMI Healthcare,0115 9662000,,https://www.bmihealthcare.co.uk/hospitals/bmi-the-park-hospital,"0115 9670381,,,"
18450,NT428,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Princess Margaret Hospital,NT4,BMI Healthcare,01753 743434,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-princess-margaret-hospital,"01753 743435,,,"
18451,NT429,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Priory Hospital,NT4,BMI Healthcare,0121 4402323,priory@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-priory-hospital,"0121 4400804,,,"
18452,NT430,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Ridgeway Hospital,NT4,BMI Healthcare,01793 814848,ridgeway@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-ridgeway-hospital,"01793 814852,,,"
18453,NT431,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Runnymede Hospital,NT4,BMI Healthcare,01932 877800,runnymede@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-runnymede-hospital,"01932 875433,,,"
18455,NT433,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Sarum Road Hospital,NT4,BMI Healthcare,01962 844555,sarum@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-sarum-road-hospital,"01962 842620,,,"
18456,NT434,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Saxon Clinic,NT4,BMI Healthcare,01908 665533,saxon@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-saxon-clinic,"01908 608112,,,"
18457,NT435,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Shelburne Hospital,NT4,BMI Healthcare,01494 888700,shelburne@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-shelburne-hospital,"01494 888701,,,"
18458,NT436,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Shirley Oaks Hospital,NT4,BMI Healthcare,0208 655 5500,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-shirley-oaks-hospital,"0208 655 5555,,,"
18459,NT437,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Sloane Hospital,NT4,BMI Healthcare,020 8466 4000,,https://www.bmihealthcare.co.uk/hospitals/bmi-the-sloane-hospital,"020 8466 4001,,,"
18462,NT440,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Thornbury Hospital,NT4,BMI Healthcare,0114 2661133,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-thornbury-hospital,"0114 2686913,,,"
18463,NT441,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Three Shires Hospital,NT4,BMI Healthcare,01604 801043,,https://www.bmihealthcare.co.uk/hospitals/bmi-three-shires-hospital,"01604 629066,,,"
18464,NT443,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Winterbourne Hospital,NT4,BMI Healthcare,01305 263252,winterbourne@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-winterbourne-hospital,"01305 265424,,,"
18466,NT445,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Edgbaston Hospital,NT4,BMI Healthcare,0121 456 2000,birminghamenquiries@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-edgbaston-hospital,"0121 454 5293,,,"
18467,NT446,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Bury St Edmunds Hospital,NT4,BMI Healthcare,01284 701 371,burypatientservices@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-st-edmunds-hospital,",,,"
18468,NT447,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Duchy Hospital,NT4,BMI Healthcare,01423 567 136,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-duchy-hospital,"01423 524 381,,,"
18469,NT448,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Huddersfield Hospital,NT4,BMI Healthcare,01484 533 131,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-huddersfield-hospital,"01484 428 396,,,"
18470,NT449,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Lancaster Hospital,NT4,BMI Healthcare,01524 62345,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-lancaster-hospital,"01524 844 725,,,"
18471,NT450,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Lincoln Hospital,NT4,BMI Healthcare,01522 578 000,,https://www.bmihealthcare.co.uk/hospitals/bmi-the-lincoln-hospital,"01522 514 021,,,"
18472,NT451,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI The Cavell Hospital,NT4,BMI Healthcare,020 8366 2122,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-the-cavell-hospital,"020 8367 8032,,,"
18476,NT455,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Mount Alvernia Hospital,NT4,BMI Healthcare,01483 570122,info@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-mount-alvernia-hospital,"01483 532554,,,"
18500,NT490,Hospital,Hospital,Independent Sector,Visible,TRUE,BMI Southend Private Hospital,NT4,BMI Healthcare,01702 608908,reception.southend@bmihealthcare.co.uk,https://www.bmihealthcare.co.uk/hospitals/bmi-southend-private-hospital,",,,"
